id,name
192242,"M. J. Pazzani"
192388,"A L Yuille"
193424,"Shimon Ullman"
193526,"Anand Rangarajan"
193558,"Pradit Mittrapiyanuruk"
193634,"Gill Bejerano"
193881,"Ashwin Srinivasan"
198755,"Guodong Guo"
200013,"T. Hague"
201114,"Duncan F. Gillies"
201745,"Jian Su"
203712,"Anand Panangadan"
203813,"Alexis Nasr"
204588,"Manfred Pinkal"
205402,"Érick Alphonse"
207798,"Razvan C. Bunescu"
208590,"J. W. Bell"
208772,"HongJiang Zhang"
208818,"Mark Bernhardt"
209107,"João Paulo Costeira"
209203,"Junxian Wang"
209645,"Stéphane Lallich"
210216,"Robert Amar"
210366,"Vittorio Ferrari"
210628,"Harpreet S. Sawhney"
210667,"Charles B. Callaway"
215670,"M. I. A. Lourakis"
216437,"Bernard Pfahringer"
218608,"Patrick S. Huggins"
218944,"Ulrich Germann"
219113,"Rens Bod"
220797,"Marcus Ackle Maloof"
221379,"Lionel Clément"
221867,"Maurice Ringer"
223474,"J Graham"
224633,"Robert A. Jacobs"
226392,"Yuka Tateishi"
228964,"Feng Huang"
229391,"Gilles Simon"
229470,"Danyu Liu"
229805,"Eric Pauwels"
230016,"Pamela W. Jordan"
230180,"Zhengyou Zhang"
230488,"Bla&#382/ Zupan"
231837,"Taro Watanabe"
231976,"Marielle Lange"
232815,"Eiichiro Sumita"
235117,"F. O. Kuehnel"
235686,"Lihi Zelnik-Manor"
236592,"Pierre Isabelle"
236724,"Phillipe Burlina"
239917,"Christophe Papin"
241913,"Jan De Prins"
242262,"Min Tang"
242543,"Amanda Stent"
242807,"Ying Wu"
243350,"Kwan-Yee K. Wong"
243485,"Cong Li"
243754,"Lambert E. Wixson"
244671,"Kai Ming Ting"
246550,"Lluís Padró"
247860,"Rong Xiao"
250142,"Deepayan Chakrabarti"
250660,"Seong Bae Park"
251132,"Sebastian B. Thrun"
251272,"V. Cornilleau-Peres"
253049,"Gregory Aist"
253691,"J. T. Lapresté"
253799,"Richard Markham"
253818,"Ian H. Jermyn"
255733,"Beth A Hockey"
256556,"Berthold Crysmann"
258080,"Li Fei-Fei"
258587,"Takaaki Hori"
258909,"P S Yu"
259756,"Zhi-Pei Liang"
259834,"Shamez Alibhai"
260599,"A. Blum"
260859,"Hyunjung Son"
261022,"John MacCormick"
261571,"D S Weld"
261682,"Nils T. Siebel"
261748,"Michael Kohlhase"
262035,"Cornelia Fermüller"
263292,"R. P. N. Rao"
263360,"Cenk Kaynak"
263376,"Claire Gardent"
263787,"Stephanie Sage"
264210,"T Kanade"
264363,"Paulo R. S. Mendonça"
264423,"Arnulf B. A. Graf"
265505,"Tiecheng Liu"
268449,"Roman Goldenberg"
271030,"Sing Bing Kang"
