author_id,article_id
1349300,103516
1354463,103517
1078152,103517
1078152,103519
538055,103519
519176,103521
546860,103521
410162,103521
726904,103523
793634,103523
1323689,103523
649856,103523
1230197,103523
1683081,103523
1431671,103523
290090,103523
1459043,103523
957864,103526
991524,103526
991552,103526
106051,103527
299092,103527
1446746,103527
957864,103528
1621104,103532
1312497,103532
1615012,103535
1312497,103535
1630380,103537
556452,103537
1175007,103537
1630380,103539
536902,103539
127139,103541
49846,103541
1026691,103542
1043418,103542
450760,103543
1674341,103543
1618468,103544
754354,103544
357903,103546
649729,103546
1230197,103546
479964,103549
1355789,103549
127383,103549
140118,103549
458818,103551
1155826,103551
1618133,103560
626127,103562
59627,103562
617814,103562
1668129,103563
1469483,103563
1090025,103564
901593,103564
221641,103564
546256,103564
901593,103565
221641,103565
546256,103565
1090025,103565
310620,103565
994559,103566
1139474,103566
1180402,103566
1070244,103566
804747,103566
1289943,103566
957864,103591
1081362,103592
508666,103592
472676,103592
1462907,103593
508666,103593
732623,103594
1429328,103594
1305168,103594
1077586,103595
1630380,103595
120540,103595
1371360,103595
1693056,103595
1469483,103595
1260754,103595
1233291,103596
189384,103596
517203,103596
729170,103596
1348695,103596
106008,103596
290890,103597
384963,103598
1622784,103598
145017,103598
650363,103598
1263629,103598
524733,103599
283900,103599
151491,103600
1359030,103600
519933,103600
1304043,103600
1365250,103600
179366,103601
947223,103601
1108079,103602
932771,105537
756954,105537
420936,105537
305175,105538
384528,105538
879969,105539
58104,105539
912289,105539
437354,105540
305175,105541
384528,105541
548443,105542
1081431,105543
1565435,105543
283969,105543
681575,105543
741080,105544
87079,105544
1355061,105544
1700461,105545
1059998,105545
1235539,105545
305175,105546
1563638,105547
591962,105548
1630585,105548
1158902,105549
361429,105550
458318,105550
131352,105551
633511,105551
1694869,105551
1497731,105552
208858,105552
319166,105552
267160,105553
1480751,105553
617498,105554
739558,105554
943274,105554
1637404,105554
1613919,105554
666067,105555
109889,105556
723085,105556
23580,105557
1365981,105558
1323047,105558
448549,105559
160978,105559
1318433,105560
229745,105561
925897,105561
944013,105561
1037184,105562
306324,105562
231369,105562
